1/1 Data export from Solartopo.com:
1/1 Date;1-1-2020;dd.mm.yyyy
1/1 UTC;2;h
1/1 Longitude;6.7333;Degree
1/1 Latitude;47.7167;Degree
1/1 Altitude;420;m
1/1 Time;Zenith;Azimuth
2/1 22:45;-47.831143182515;290.62578392151
2/1 23:0;-50.159308231183;294.51409443374
2/1 23:15;-52.413625773418;298.69828217811
2/1 23:30;-54.57572023147;303.22652659665
2/1 23:45;-56.62366512362;308.15044559636
3/1 Data export from Solartopo.com:
3/1 Date;3-1-2020;dd.mm.yyyy
3/1 UTC;2;h
3/1 Longitude;6.7333;Degree
3/1 Latitude;47.7167;Degree
3/1 Altitude;420;m
3/1 Time;Zenith;Azimuth
3/1 0:0;-58.531466030332;313.52213185658
3/1 0:15;-60.268761695917;319.38866548707
3/1 0:30;-61.801018174215;325.78329313241
3/1 0:45;-63.090597435007;332.71312597209
3/1 1:0;-64.099096005331;340.14491829665
3/1 1:15;-64.791129304985;347.99324701655
3/1 1:30;-65.139163587205;356.11781486397
3/1 1:45;-65.128212429548;4.3357351151843
3/1 2:0;-64.758747752387;12.448562770115
3/1 2:15;-64.046603447902;20.275320465137
3/1 2:30;-63.0199143145;27.678815808314
3/1 2:45;-61.714366547725;34.576951508191
3/1 3:0;-60.168402957166;40.939284282842
3/1 3:15;-58.419521220699;46.774886241332
3/1 3:30;-56.502019824894;52.118146951142
3/1 3:45;-54.445993342932;57.016658973594
3/1 4:0;-52.277177413242;61.522611697785
3/1 4:15;-50.017267080322;65.687480372227
3/1 4:30;-47.684440604404;69.559184879193
3/1 4:45;-45.293931450532;73.180862556959
3/1 5:0;-42.858566596397;76.590596214653
3/1 5:15;-40.389236788714;79.821653149479
3/1 5:30;-37.895293131321;82.902958298897
3/1 5:45;-35.384873795125;85.859646403773
3/1 6:0;-32.865169280975;88.713611008678
3/1 6:15;-30.342638673773;91.484007978964
3/1 6:30;-27.823185560041;94.187699273537
3/1 6:45;-25.312300865494;96.839635159755
3/1 7:0;-22.815181427813;99.453176013116
3/1 7:15;-20.336828696302;102.04036072693
3/1 7:30;-17.88213078125;104.61212916927
3/1 7:45;-15.455933102892;107.17850262422
3/1 8:0;-13.063099027624;109.74872848603
3/1 8:15;-10.708561275216;112.33139445058
3/1 8:30;-8.3973672135936;114.93451340901
3/1 8:45;-6.13471768666;117.56558244598
3/1 9:0;-3.7224140679658;120.2316186336
3/1 9:15;-1.0352858133397;122.93917056613
3/1 9:30;0.74785748803617;125.69430728041
3/1 9:45;2.5819097229657;128.50258611878
3/1 10:0;4.4355068406889;131.36899787986
3/1 10:15;6.2425029579836;134.29789119135
3/1 10:30;7.9755056095579;137.29287895669
3/1 10:45;9.6194477959512;140.35672735314
3/1 11:0;11.163548852839;143.4912327787
